Team,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks*,82,43,39,0.524,19880,3123,6919,0.451,729,2137,0.341,2394,4782,0.501,1484,2039,0.728,844,2793,3637,1938,672,397,1294,1491,8459
Boston Celtics*,82,53,29,0.646,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,341,1088,1686,8857
Brooklyn Nets,82,20,62,0.244,19755,3102,6987,0.444,877,2592,0.338,2225,4395,0.506,1592,2020,0.788,720,2879,3599,1756,594,387,1356,1726,8673
Charlotte Hornets,82,36,46,0.439,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601
Chicago Bulls*,82,41,41,0.5,19780,3169,7142,0.444,623,1830,0.34,2546,5312,0.479,1474,1848,0.798,999,2796,3795,1851,644,394,1110,1455,8435
Cleveland Cavaliers*,82,51,31,0.622,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,767,2822,3589,1858,540,329,1122,1486,9048
Dallas Mavericks,82,33,49,0.402,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,648,2516,3164,1705,615,309,972,1567,8029
Denver Nuggets,82,40,42,0.488,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2836,3802,2077,568,324,1225,1567,9161
Detroit Pistons,82,37,45,0.451,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1731,574,310,973,1467,8309
Golden State Warriors*,82,67,15,0.817,19780,3532,7140,0.495,982,2563,0.383,2550,4577,0.557,1457,1850,0.788,771,2873,3644,2490,785,555,1211,1585,9503
Houston Rockets*,82,55,27,0.671,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2747,3639,2070,670,351,1241,1634,9458
Indiana Pacers*,82,42,40,0.512,19855,3221,6932,0.465,709,1885,0.376,2512,5047,0.498,1467,1811,0.81,742,2702,3444,1844,669,411,1128,1597,8618
Los Angeles Clippers*,82,51,31,0.622,19755,3242,6819,0.475,841,2245,0.375,2401,4574,0.525,1586,2128,0.745,740,2790,3530,1848,613,349,1064,1626,8911
Los Angeles Lakers,82,26,56,0.317,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,675,320,1243,1698,8575
Memphis Grizzlies*,82,43,39,0.524,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,885,2621,3506,1744,654,343,1060,1840,8239
Miami Heat,82,41,41,0.5,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,873,2706,3579,1742,586,469,1102,1680,8460
Milwaukee Bucks*,82,42,40,0.512,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497
